title,text,story_url
萤火虫和小星星,"来源：中国儿童文学网　　作者：佚名
天上，白云边，一颗小星星在一闪一闪。地上，小河边，一群萤火虫在一亮一亮。“喂，上来吧，我们来玩藏猫猫好吗？”天上的小星星把半个脸躲进白云里，向地上的萤火虫眨着眼睛。 
	“好啊，你等着吧！”地上的萤火虫忙起来了，提着盏小灯笼，在草丛里走来走去。 
	“你在干什么？”天上的小星星从白云后面走出来，把眼睛睁得大大的。 
	“在找针线呢。”萤火虫回答说，头也不抬。 
	“找针线干什么？”小星星又问。 
	“缝航天衣。” 
	“缝航天衣干什么？” 
	“咦，你不是邀请我到天上去玩儿吗？” 
	“那好，我帮你一起来找吧。”小星星“呼”的一下，从天上落下来，帮萤火虫找针线。 
	小妹妹在院子里，听到了小星星和萤火虫的谈话，出来一看，只见草丛里，瓜棚下，到处一闪一闪的。小星星呢？它和萤火虫在一起飞来飞去，怎么也认不出来。小妹妹想：天上多美啊。 
	第二天晚上，小妹妹来到小河边，可再也看不见萤火虫了。原来，萤火虫找到了针线，缝好了航天衣，穿在身上，跟着小星星一起飞上天去了。 
	它们在天上眨着眼睛，哪是萤火虫，哪是小星星，小妹妹看来看去分不清。 



·上一篇文章：勇敢的小刺猬·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07430165755AE383GH67A3KC40FBIFE.htm",http://www.wpwx.cn/news/tonghua/07430165755AE383GH67A3KC40FBIFE.htm
勇敢的小刺猬,"来源：中国儿童文学网　　作者：佚名
在这么多的小伙伴中，小猴顶顶瞧不起的就是小刺猬了。瞧他那丑样儿：满身插着大针，又尖又小的脑袋，老是缩在肚子下面，一副胆小怕事的样子。 
	有一天，小伙伴们在玩捉迷藏，小刺猬也想参加，小猴不高兴了：“去去去，你凑什么热闹？” 
	小鹿和小松鼠都为小刺猬求情道：“让小刺猬来吧，小猴！” 
	“哼，让他来，他能干什么？呆头笨脑的。”小猴叽咕道。 
	这话太不公平了！小白兔跳出来打抱不平：“小刺猬并不笨，每天夜里他都能捉几只老鼠。” 
	“捉老鼠有什么了不起？”小猴提高了嗓门窗道，“他能像我跑得那样快吗？能像我一样爬上这棵树吗？” 
	大伙儿不吭声了。小刺猬那圆乎乎的身子动了动，悄悄地退到一边去了。 
	捉迷藏开始了。小白兔撒腿往草丛里跑，雪白的身子被长长的草遮住了。忽然，小白兔惊惶地尖叫起来：“蛇！蛇！” 
	小伙伴们都从藏身的地方跑出来，问蛇在哪儿？不等小白兔回答，只听得“刚刚”一阵响，那条蛇已经爬到他们跟前了，身体又粗又长，三角形脑袋，嘴里的毒芯一伸一伸，还发出了“唿唿”的声音，怪吓人的。 
	小猴大喊一声“快跑！”他第一个转身就跑。小白兔、小松鼠和小鹿跟在后边。蛇拉直了身体，拼命朝前追。经过小刺猬跟前，小刺猬一下子咬住了蛇的尾巴，然后把头缩进肚子底下。蛇把头抬得高高的，凶狠地摇了摇，想咬死小刺猬。小刺猬一点儿也不害怕，还是紧紧地咬住蛇尾巴不放，蛇盘成一团，想绞死小刺猬。小刺猬鼓足劲，弓起背，全身的尖刺都竖起来。蛇的身上被刺了无数个小洞，挣扎几下，最后一动也不动了。 
	小伙伴们都回来了，看到小刺猬把凶恶的大毒蛇给刺死了，七嘴八舌地夸奖起来： 
	“多亏你救我们！” 
	“小刺猬不但能捉老鼠，还能斗毒蛇，真了不起！” 
	小猴红着脸，低着头说：“小刺猬，你勇敢，我以前小看你了，请原谅我吧！” 



·上一篇文章：鱼猫·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07430165718J2J6H240AJ5B51G490EE.htm",http://www.wpwx.cn/news/tonghua/07430165718J2J6H240AJ5B51G490EE.htm
鱼猫,"来源：中国儿童文学网　　作者：佚名
大咧咧叔叔性子急，做事快，他一分钟能洗十只碗，二十只盘子，三口锅。就这，他还嫌自己不够利索。 
	几天后，大咧咧叔叔从外地出差回来，进门一看，吓一跳。原来厨房里的筷子粘在一起，还生出了竹叶。碗里没洗净的米粒发了芽。盘子里长着一尺高的绿毛毛。大咧咧叔叔一拍自己的脑门：“唉，我可真粗心！” 
	这天，大咧咧叔叔打球回来，想洗洗澡，可一拧水龙头，停水了。他只好用毛巾擦了一把脸，带着一身臭汗上床睡觉。厨房里的水龙头一直在开着。 
	第二天早晨，大咧咧叔叔想去厨房做早餐，可厨房呢？厨房失踪了：在院子里出现一个大水池，池中心还有一股水柱高高喷起。他想：没了厨房，得到一个大池塘，也不坏嘛。大咧咧叔叔爱吃鱼，就去弄来许多小鱼苗放进水池。怕别人偷鱼，大咧咧叔叔还从亲戚家抱只大猫，看守鱼池。 
	大猫很凶，见人走近池塘，它就弓背驼腰，两眼瞪出家的哈巴狗，也不敢过来跟它说句话。 
	可大咧咧叔叔常常忘了给大猫饭吃，害得大猫饿肚子。 
	一个下午，大猫饿得实在受不了，就把尾巴放进水池里，钓起鱼来。大猫不但是个好看守，还是个好渔夫。不一会儿工夫，几十条小鱼全进了它的肚子里。 
	每天每天，大猫都靠钓鱼填饱肚子，它吃鱼上了瘾。 
	邻居家的哈巴狗，很看不惯这件事，就向大咧咧叔叔告了状。 
	大咧咧叔叔有点不相信，拿网去池塘捞鱼，结果一条也没捞着。他转眼看看在一边打吨的大猫，它现在变得比来时大多了，还鱼模鱼样的，并且从它身上散发出一股鱼腥味。 
	“大猫，你偷鱼吃了吗？”大咧咧叔叔问。 
	“我，我……”大猫的目光怯怯的。 
	大咧咧叔叔还没等它说完，抓起就把它扔进了池塘。 
	大猫淹得大口大口地喝水，池塘里的水越来越浅。渐渐地厨房露了出来。啊，厨房：大咧咧叔叔瞪大了双眼，他看见厨房里那没拧上的水龙头，还在哗哗地流着水。他恍然大悟，这一切都是那天打球回来没关水龙头造成的！ 
	喝光了池水的大猫，变成一只举世无双的巨猫，它正一步一步，艰难地朝远方走去。它的模样，像一条庞大的鱼，在风里游来游去。 



·上一篇文章：月亮掉进烟囱里·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/074301656463EJCH1JK6B0860CJ081C.htm",http://www.wpwx.cn/news/tonghua/074301656463EJCH1JK6B0860CJ081C.htm
月亮掉进烟囱里,"来源：中国儿童文学网　　作者：佚名
冬天的夜晚，月亮也冷得受不了啦：突然，他看见不远的地方有个小烟囱。“快去那儿烤烤火吧！”月亮一下趴到小烟囱边上。 
	这会儿，小烟囱不冒烟了，只冒出暖暖的热气。 
	月亮鼓着圆圆的身子坐在烟囱边上，这边烤烤，那边烤烤。他觉得比刚才暖和多了。 
	“我找到了多么好的地方呀！”月亮正在得意，一不留神，掉进烟囱里，把烤火的老奶奶吓了一跳：“哟，该不是雪球掉下来了吧？可别把火压灭了，外面好冷呢！” 
	老奶奶往灶膛加了一把柴，接着拉起了小风箱。 
	“呼噜噜，呼噜噜……” 
	灶膛里吹起了好大的风，火苗儿、火星儿还有星星的烟都被吹了起来。 
	月亮还没弄明白是怎么回事，就被一股热气托着升呀，升呀，又跑到了烟囱外面。 
	月亮没有受伤，可那烟熏火燎的滋味儿也不好受呀！ 
	咕噜噜，咕噜噜！月亮赶紧转着圆圆的身子回家去了。



·上一篇文章：月亮姑姑来做伴·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/0743016548FJCKHCJ1EC93EK6K9452.htm",http://www.wpwx.cn/news/tonghua/0743016548FJCKHCJ1EC93EK6K9452.htm
月亮姑姑来做伴,"来源：中国儿童文学网　　作者：佚名
洪水冲塌了兔兄、兔弟的家。他俩哭着到外边去逃荒。 
	夜幕笼罩了大地、山野和森林，兔兄和兔弟哭着坐在山坡上休息，他俩连眼睛都哭红了。“别哭！别哭！好孩子决不哭鼻子！” 
	“是谁在对我们讲话？这声音真好听！”兔兄说。 
	“好像妈妈在讲话，这声音是从天上来的！”兔弟说。 
	兔兄、兔弟顺着声音向天上望去，天上只有月亮姑姑微笑着望着他们。 
	“是您在对我们说话吗？”兔弟问。 
	“是的。天刚黑下来，姑姑就为你们引路了。”月亮姑姑说。 
	“月亮站姑，我们没有家了，怎么办？”兔兄问。 
	“旧房塌了，可以动手造个新家呀！山坡上正好可以安家。”月亮姑姑说。 
	“好的！”兔兄、兔弟说干就干，在山坡上开始挖洞造屋。 
	微风轻轻掠过山坡，兔兄、兔弟盖房造屋干得可带劲儿了，他们谁也不觉得累，因为，天上有月亮姑姑一直陪伴着他们。 
	新屋很快就造好了，兔兄、兔弟住进了新家。月亮姑姑笑着对他们说：“孩子们，祝你们安居乐业！” 



·上一篇文章：大灰狼和七只小羊·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07430165339DEE1J6KEH4AB50HC1IFD.htm",http://www.wpwx.cn/news/tonghua/07430165339DEE1J6KEH4AB50HC1IFD.htm
大灰狼和七只小羊,"来源：中国儿童文学网　　作者：袁雨莎 图/文



从前有个山羊妈妈，她有七个孩子。
		一天，山羊妈妈要到森林里去找点吃的东西。


于是，她把七只小羊叫到跟前，
		一一叮嘱他们：“我不在的时候，
		如果大灰狼来了，你们千万不要开门。”
		“大灰狼的嗓音是粗粗的，爪子是黑黑的。
		凭这些，你们会一下子认出它来。”
		七只小山羊说：
		“别担心，妈妈，我们会小心的。”



没过多久，“咚咚咚”，有人敲门。
		“小山羊乖乖，我是妈妈，
		我回来了，带来好多好吃的东西。”
		但是这声音听起来粗声粗气的，小山羊们大声回答：
		“不开不开就不开，妈妈没你这么粗的嗓子。”


于是，大灰狼到商店里买了些滑石粉吃了，
		好让声音听起来柔细一些。
		这下，他又来到小山羊的门前。
		“小羊儿乖乖，我是妈妈，我回来了，
		带来好多好吃的东西。”
		但是从门上的小缝里，
		小山羊们看到了大灰狼漆黑漆黑的爪子。
		“不开不开就不开，
		妈妈没你这么黑的爪子。”



于是，大灰狼恶狠狠地说：
		“照我说的做，不然我吃了你！”
		磨房主害怕了，给大灰狼的爪子上撒了些面粉。


大灰狼又来敲小山羊的门。“咚咚咚”。
		“小山羊乖乖，我是妈妈，
		我回来了，带来好多好吃的东西。”
		小山羊们看到了白白的爪子，
		以为门外站着的是他们的妈妈。
		“欢迎妈妈回来！”
		门刚开，大灰狼“呼”地一下跳进屋子。



“啊……，不！”小山羊们尖叫着，
		急忙在屋子里躲藏了起来。
		老大藏在桌子下，老二躲进被窝里，
		老三爬进炉子里。老四跑到厨房，
		老五溜进衣橱，老六用脸盆盖住自己，
		老七钻进落地大钟里。


但是大灰狼毫不费力地找到他们，
		把小山羊一个一个地吞到肚子里去，
		只有躲在落地大钟里的那只小山羊没有被吃掉。
		大灰狼吃得太饱了，他摇摇晃晃地走了出去，
		在一棵大树下睡着了。不久，山羊妈妈回来了。



“哦……，不！出了什么事？
		我的孩子，快回答我！”
		但是，只有一只小山羊回答说：
		“我在这儿，妈妈！”
		“大灰狼来了，把他们都吃掉了。”
		山羊妈妈赶紧跑了出去。


她看到大灰狼正躺在草地上睡觉。
		“他的肚子还在动，也许我能把孩子们救出来。”
		山羊妈妈对小山羊说：“快，去拿把剪刀和针线来！”



山羊妈妈用剪刀把大灰狼的肚子剪开，
		小山羊一个接一个地从里面跳了出来。
		“噢！谢天谢地，我们得救了！”
		六只小山羊没有一只受伤。
		山羊妈妈对兴高采烈的小山羊们说：
		“快去找一些石头来。”


“嗨哟！嗨哟！嗨哟……”
		七只小山羊一起搬着石头。
		山羊妈妈把大灰狼的肚子填满石头，
		然后很快缝好。
		“行了，就这样吧！”
		山羊一家马上藏了起来，等着看会发生什么事。




不久，大灰狼醒过来了。
			“唉呀，啊！真口渴，我一定吃得太多了。
			嗯……对，最好先去喝点水。”
			但是，当大灰狼想要站起来时……
			“噢！我的肚子像是装了一吨砖头！”
			大灰狼不得不爬到进边，弯下身子来喝水。
			可是，他的身子是那么重，
			以致于——“扑通！”
			大灰狼一下子掉到井里去了。


看到这些，七只小羊全欢呼起来：
			“好哇！大灰狼死掉了！”
			他们冲了出来，和山羊妈妈一起，
			围着水井高兴地跳起舞来。



·上一篇文章：神笔马良·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07416174745IAG9K351CHF71JA85H8F.htm",http://www.wpwx.cn/news/tonghua/07416174745IAG9K351CHF71JA85H8F.htm
神笔马良,"来源：中国儿童文学网　　作者：洪汛涛
　　听人家说，从前，有个孩子名字叫做马良。父亲母亲早就死了，靠他自己打柴、割草过日子。他从小喜欢学画，可是他连一支笔也没有啊！
　　一天，他走过一个学馆门口，看见学馆里的画师，拿着一支笔，正在画画，他不自觉地走了进去，对画师说：“我很想学画，借给我一支笔可以吗？”
　　画师瞪了他一眼，“呸！”一口唾沫吐在他脸上，骂道：“穷孩子想拿笔，还想学画画？做梦啦！”
　　说完，就将他撵出门来。
　　马良是个有志气的孩子，他说：“为什么穷孩子不能拿笔，连画也不能学呢？我就是要学画画！”
　　从此，他下决心学画，每天用心苦练。他到山上打柴时，捡一根枯树枝，在沙地里学着描飞鸟。他到河边割草时，用草根蘸蘸河水，在岸石上学着描游鱼。晚上，回到家里，拿一块木炭，在窑洞的壁上，又把白天描过的东西，一件一件再画一遍。
　　他没有笔，但还是坚持学画画。
　　一年一年地过去，马良学画没有一天间断过。他窑洞的四壁，画上叠画，麻麻花花全是画了。当然，进步也很快，真是画起的鸟就差不会叫了，画起的鱼就差不会游了。一回，他在村口画了只小母鸡，村口的上空就成天有老鹰打转。一回，他在山后画了只黑毛狼，吓得牛羊不敢在山后吃草。但是马良还没有一支笔啊！
　　他多么想，自己能有一支笔。
|<<
<<
<
1
2
3
4
5
6
>
>>
>>|




·上一篇文章：长着蓝翅膀的老师·下一篇文章：蘑菇桌


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07413181541AKAIK2K23527FJ2FI256.htm",http://www.wpwx.cn/news/tonghua/07413181541AKAIK2K23527FJ2FI256.htm
长着蓝翅膀的老师,"来源：中国儿童文学网　　作者：佚名
小雏菊幼儿园里来了个会飞的老师。 
	园长奶奶急坏了。幼儿园已经够乱的了，小家伙们满地爬，桌子椅子四处跑，再来一个长翅膀的老师，怎么办？ 
	孩子们可高兴了。他们不吵不闹，睁大眼睛奇怪地看着新老师，一对蓝翅膀叠放在她的背上呢！ 
	“你们喜欢我的翅膀吗？” 
	老师说着，慢慢地张开那对天蓝色的翅膀。翅膀轻轻地扇起一阵温柔的风，教室里一下子就充满了透明的五色。 
	“真美呀！”孩子们说。 
	“你们想飞吗？”老师问。 
	“想啊。可是我们没有翅膀呀！” 
	“所有的孩子都是有翅膀的，只要想飞就能飞。”老师说。 
	“真的吗？” 
	“真的！飞吧，飞吧！” 
	孩子们背上果然扑扇着五颜六色的翅膀，一个接一个紧跟着蓝感膀老师，飞出了教室，飞向广阔、神奇、美丽的天空。 
	园长奶奶吓坏了，追着孩子们喊：“快下来！快下来！”孩子们飞得正高兴，才不会下来呢！ 
	孩子们飞着，飞着，一棵大树热情地招手：“孩子们，到我的树上来做窝吧！” 
	老师领着孩子们齐刷刷地落到树上，为树爷爷唱了一支好听的歌，唱得树爷爷哈哈笑。 
	从这以后，小雏菊幼儿园的孩子经常飞。他们有时飞得近，有时飞得远。他们认识了大地上的城市、河流和山脉，还同天空中的白云、小鸟交上了朋友。 
	自从孩子们会飞以后，再也不满地乱爬。小雏菊幼儿园的桌子、椅子也变乖了，它们每天干干净净，排着整齐的队伍站在幼儿园教室里，不再到处乱跑。 
	如今，园长奶奶也喜欢那位长着蓝翅膀的老师了。 



·上一篇文章：长不大的红衫树·下一篇文章：神笔马良


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/0741219445379HAB8KF7BA695I1H2AG.htm",http://www.wpwx.cn/news/tonghua/0741219445379HAB8KF7BA695I1H2AG.htm
长不大的红衫树,"来源：中国儿童文学网　　作者：佚名
一棵红杉树的种子对妈妈说：“妈妈，我已经成熟了，让风伯伯带我到远方去扎根吧。” 
	“不，孩子，你离开妈妈的照顾，离开周围叔叔伯伯们的保护，是长不好的，还是留在我身边吧。”这颗红杉树种子拗不过妈妈，只好扎进妈妈脚下的泥土里。这颗种子的兄弟姐妹都随风伯伯到远处的开阔地扎根落土了。 
	春天到了，这颗种子从泥土里钻出来，看看妈妈高大的身躯，再看周围叔叔伯伯们巨大的枝干，油然而生一种安全感。大风刮来，呼呼作响，有叔叔伯伯们的包围，他小红杉树安然无恙；暴雨如注，有妈妈做伞，小红杉树如在温室。小红杉树心想，幸亏我没随风伯伯到远处去落土，不然我该怎样抵挡风雨啊： 
	可是，当小红杉树要吸吮土壤中养分的时候，营养已被叔叔伯伯们吸走；他要迎接阳光雨露，却被妈妈的高大身躯遮住。这样，一年又一年地过去了，小红杉树还是那么小，他成了病弱极小长不大的小不点啦。当他听风伯伯说，那些在远方扎根的兄弟姐妹，都长成参天大树的时候，便深有感触地说：“整天躺在妈妈的怀里，是长不大的。” 



·上一篇文章：真假小白兔·下一篇文章：长着蓝翅膀的老师


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/07412194410F3654134E2463C3449HI.htm",http://www.wpwx.cn/news/tonghua/07412194410F3654134E2463C3449HI.htm
真假小白兔,"来源：中国儿童文学网　　作者：佚名
小白兔当了萝卜店的经理。小狐狸很羡慕：“哼，我要变成小白兔！”于是，他念起咒语：“一二三四五六，狐狸变成小白兔。”嘿！小狐狸变成了一只小白兔了。 
早晨，一只小白兔一蹦一跳来到萝卜店。店里的小灰兔一见，惊叫起来：“咦？小白兔经理刚进去，怎么又来了一个小白兔经理呢？” 
里面的小白兔走出来一瞧，大叫：“你是……” 
外面的小白兔也大叫：“我是这里的经理，你是谁？” 
“明明我是经理，你是谁？” 
两只小白兔吵起来。小灰兔们左看看右看看，全愣住了，实在分不出谁是真的小白兔经理。 
熊法宫来了，先在他俩面前放两捆青草，两只小白兔很快吃完了青草。熊法官又在他们面前放了两块肉，两只小白兔都皱着眉头：“不吃不吃！”熊法宫看看这个，又看看那个，怎么也看不出真假，急得直搔头：这可怎么办？ 
兔妈妈来了，两只小白兔一齐叫：“妈妈，我是你的孩子。” 
兔妈妈看看这个，又看看那个，摇摇头：“咦，真怪！唔，我的孩子尾巴上有个伤疤。” 
可仔细一看，两只小白兔尾巴上都有伤疤。这可怪了！兔妈妈想了想，忽然捂着肚子叫起来：“哎哟，哎哟，我的肚子疼！哎哟，哎哟！”兔妈妈疼得弯下了腰。 
“妈妈，你怎么啦？”一只小白兔眼泪都流出来了，扑上来扶着兔妈妈，一边大叫：“快，快去叫救护车，快！快！” 
另一只小白兔虽然也在叫“妈妈妈妈”，声音却一点不急。 
兔妈妈猛然站起来，一把抱住扑上来的小白兔，说：“我分出来了，你才是我的孩子——真正的小白兔！” 
小白兔笑了：“妈妈，你到底认出自己的孩子了！” 
另一只小白兔见兔妈妈忽然好了，愣了一愣，才明白自己上了当。只好摇身一变，变成狐狸溜走了。 
熊法官笑了：“兔妈妈，你真聪明！” 
兔妈妈笑了，小白兔也笑了。 



·上一篇文章：纸片上的字·下一篇文章：长不大的红衫树


转载请注明转载网址：
http://www.wpwx.cn/news/tonghua/0741219434006AJHG92CAJ741224C79.htm",http://www.wpwx.cn/news/tonghua/0741219434006AJHG92CAJ741224C79.htm
